2.2047,1.5923,-0.0081581
2.1889,1.5699,-0.032424
2.2255,1.5623,2.8319e-08
2.2144,1.5991,0.49758
2.2167,1.5858,-3.8281e-09
2.2029,1.5604,-0.76884
2.207,1.5775,-5.3016e-08
2.1957,1.5609,0.038185
2.2108,1.5422,-0.024761
2.2098,1.5744,-0.99667
2.2105,1.5787,-0.00010852
2.1528,1.5648,1.81e-07
2.1358,1.6007,-0.0046395
2.2019,1.5934,-0.0097096
2.241,1.5444,-0.027815
2.2487,1.5311,-4.5585e-13
2.2039,1.538,0.38446
2.1852,1.5602,-5.0775e-08
2.1779,1.5643,-1.3321
2.1723,1.5433,-2.2442e-08
2.1824,1.5807,0.27883
2.197,1.5837,-0.40629
2.2307,1.5507,-0.65128
2.1465,1.5891,-7.6907e-05
2.1776,1.5649,2.6228e-15
2.1791,1.5711,1.8464e-05
2.1924,1.5669,-0.018242
2.2098,1.5702,-0.12608
2.2128,1.5413,-1.3353e-13
2.1986,1.5469,0.27511
2.2364,1.6,-0.0025923
2.1811,1.569,-1.1157
2.1885,1.5918,-1.5846e-08
2.2566,1.567,0.00015952
2.2149,1.5593,-0.045429
2.1979,1.5891,-0.70135
2.259,1.5831,-0.0016237
2.188,1.5728,-1.9931e-21
2.2172,1.5511,3.4403e-06
2.2297,1.5564,-0.032188
2.1909,1.556,-0.6559
2.1717,1.5232,-1.7725e-13
2.2071,1.5547,0.52851
2.1937,1.5416,-0.26216
2.2077,1.5815,-0.39329
2.228,1.5737,-2.9172e-06
2.2062,1.5774,0.20415
2.1897,1.5751,-3.2642e-06
2.2183,1.5758,-0.756
2.2084,1.5687,-0.044739
