-9.4253,-4.4224,0.027204
-9.4174,4.4614,0.027261
6.2711,-0.072392,0.011216
-3.1517,-4.4921,0.0081863
-6.297,-8.8102,0.03084
-6.2844,8.8118,0.030655
9.9039,4.2956,0.14657
3.1197,-4.3511,0.0095127
3.1561,4.3596,0.0090798
-6.2569,8.8505,0.030026
8.8822,5.1041,0.26175
3.1444,-4.4721,0.0076899
3.1339,-4.4308,0.0074295
-3.0556,-4.4823,0.011442
-9.4331,4.4832,0.027712
6.3012,0.04542,0.010605
3.1521,-4.3744,0.0084947
-9.3751,-4.4611,0.028265
-6.2276,8.7898,0.03285
6.2935,-0.0038155,0.0099595
0.034552,0.014467,0.0006495
-3.0988,-4.4599,0.0083592
-9.4268,-4.4097,0.027355
9.3942,-4.4678,0.027675
3.1414,4.4147,0.0075386
0.0082695,-0.00013858,3.4214e-05
-6.2754,-8.809,0.030746
-3.1306,4.3978,0.0078538
6.2784,-0.056755,0.010672
3.166,4.4846,0.0082674
-3.1946,-4.4778,0.0092718
-6.2711,8.8722,0.02963
-0.013725,-8.8822,0.019821
-0.0051426,-0.051735,0.00068294
-6.2763,-0.020729,0.0099793
-6.3194,-8.844,0.030632
9.023,4.3607,0.10628
6.3224,-0.084349,0.01254
-0.032004,0.026566,0.00068886
-6.3006,-8.8855,0.029813
-6.2685,8.8965,0.029747
3.1006,4.4468,0.0081895
0.013606,0.021315,0.00020629
0.058249,-0.033535,0.0019778
-9.4521,-4.4821,0.028117
-0.051351,-0.080392,0.0029336
3.1753,4.4444,0.0080283
-3.1344,-4.4134,0.0075683
-6.224,-8.8978,0.031262
9.4163,4.4398,0.027133
